open,high,low,close,volume,openTime,closeTime
1330.81,1334.00,1327.01,1331.61,25708.002,2021-02-01 12:45:00,2021-02-01 12:59:59
1331.62,1335.74,1329.14,1334.71,15035.002,2021-02-01 13:00:00,2021-02-01 13:14:59
1334.85,1334.91,1328.80,1330.48,10927.057,2021-02-01 13:15:00,2021-02-01 13:29:59
1330.48,1334.01,1326.06,1333.53,16816.563,2021-02-01 13:30:00,2021-02-01 13:44:59
1333.53,1339.14,1327.92,1328.28,22005.926,2021-02-01 13:45:00,2021-02-01 13:59:59
1328.31,1331.00,1310.05,1313.22,57712.720,2021-02-01 14:00:00,2021-02-01 14:14:59
1313.24,1322.68,1312.00,1322.44,27548.087,2021-02-01 14:15:00,2021-02-01 14:29:59
1322.36,1326.00,1319.97,1321.88,21590.737,2021-02-01 14:30:00,2021-02-01 14:44:59
1321.91,1323.05,1313.00,1315.27,29665.918,2021-02-01 14:45:00,2021-02-01 14:59:59
1315.19,1319.63,1310.00,1312.23,22380.036,2021-02-01 15:00:00,2021-02-01 15:14:59
1312.31,1318.95,1311.31,1315.87,17763.784,2021-02-01 15:15:00,2021-02-01 15:29:59
1315.86,1318.95,1315.00,1317.32,10508.752,2021-02-01 15:30:00,2021-02-01 15:44:59
1317.41,1320.05,1301.53,1302.39,37721.424,2021-02-01 15:45:00,2021-02-01 15:59:59
1302.29,1309.84,1300.21,1307.10,28245.315,2021-02-01 16:00:00,2021-02-01 16:14:59
1307.11,1312.00,1305.61,1311.30,17739.125,2021-02-01 16:15:00,2021-02-01 16:29:59
1311.38,1314.45,1306.36,1312.94,14846.227,2021-02-01 16:30:00,2021-02-01 16:44:59
1313.09,1313.79,1309.77,1310.29,9966.343,2021-02-01 16:45:00,2021-02-01 16:59:59
1310.30,1313.00,1307.00,1311.88,12926.825,2021-02-01 17:00:00,2021-02-01 17:14:59
1311.90,1313.13,1310.00,1312.52,8421.190,2021-02-01 17:15:00,2021-02-01 17:29:59
1312.52,1316.52,1311.62,1314.19,15018.071,2021-02-01 17:30:00,2021-02-01 17:44:59
1314.20,1323.26,1312.00,1319.35,26190.039,2021-02-01 17:45:00,2021-02-01 17:59:59
1319.35,1321.99,1317.46,1318.58,14394.508,2021-02-01 18:00:00,2021-02-01 18:14:59
1318.59,1324.70,1317.59,1322.19,13597.334,2021-02-01 18:15:00,2021-02-01 18:29:59
1322.20,1326.08,1320.86,1324.46,13248.573,2021-02-01 18:30:00,2021-02-01 18:44:59
