# Error, Accuracy
1.784705032893435472e+01,0.000000000000000000e+00
1.480433540556126104e+01,0.000000000000000000e+00
1.480183647365360855e+01,0.000000000000000000e+00
1.479674878285928941e+01,0.000000000000000000e+00
1.472960707583303908e+01,0.000000000000000000e+00
1.283612699953668113e+01,3.333333333333333148e-01
9.156541904294122958e+00,5.999999999999999778e-01
8.233818296830669681e+00,5.999999999999999778e-01
7.950629804585363836e+00,5.999999999999999778e-01
7.835146674542858847e+00,5.999999999999999778e-01
7.837711289716907892e+00,5.999999999999999778e-01
7.849020197075758709e+00,5.999999999999999778e-01
7.715046100848113042e+00,5.999999999999999778e-01
7.731445776557361427e+00,5.999999999999999778e-01
7.712574211910108168e+00,5.999999999999999778e-01
7.686573542492195266e+00,5.999999999999999778e-01
7.717987327706449463e+00,5.999999999999999778e-01
7.692018838483028809e+00,5.999999999999999778e-01
7.787914232976114626e+00,5.999999999999999778e-01
7.739142934636254800e+00,5.999999999999999778e-01
7.786933976363648036e+00,5.999999999999999778e-01
7.673037914800549864e+00,5.999999999999999778e-01
7.733249189975466287e+00,5.999999999999999778e-01
7.787562172480863687e+00,5.999999999999999778e-01
7.738909414525871888e+00,5.999999999999999778e-01
7.699139407662485723e+00,5.999999999999999778e-01
7.990220458781176482e+00,5.999999999999999778e-01
7.748592917969625127e+00,5.999999999999999778e-01
7.743857095257953738e+00,5.999999999999999778e-01
7.740741162015043919e+00,5.999999999999999778e-01
7.737974582250800815e+00,5.999999999999999778e-01
7.734967243273402460e+00,5.999999999999999778e-01
7.730552236877534789e+00,5.999999999999999778e-01
7.719740110603930283e+00,5.999999999999999778e-01
7.792081420200183572e+00,5.999999999999999778e-01
7.738964885517730430e+00,5.999999999999999778e-01
7.736131074614237768e+00,5.999999999999999778e-01
7.734488654310514022e+00,5.999999999999999778e-01
7.733188093199696134e+00,5.999999999999999778e-01
7.732038582076405042e+00,5.999999999999999778e-01
7.730949552907964595e+00,5.999999999999999778e-01
7.729847514174576162e+00,5.999999999999999778e-01
7.728639251856979975e+00,5.999999999999999778e-01
7.727160139063637523e+00,5.999999999999999778e-01
7.725041768446569534e+00,5.999999999999999778e-01
7.721396989990235937e+00,5.999999999999999778e-01
7.720232318365273017e+00,5.999999999999999778e-01
7.734774170853595088e+00,5.999999999999999778e-01
7.721756001850427431e+00,5.999999999999999778e-01
7.717081899956180990e+00,5.999999999999999778e-01
7.738620720541253384e+00,5.999999999999999778e-01
7.723889715750973828e+00,5.999999999999999778e-01
7.720996163920125888e+00,5.999999999999999778e-01
7.715981397763949978e+00,5.999999999999999778e-01
7.736483968207861217e+00,5.999999999999999778e-01
7.722250547235503859e+00,5.999999999999999778e-01
7.718537583973692939e+00,5.999999999999999778e-01
7.715685830025697634e+00,5.999999999999999778e-01
7.740247015038252520e+00,5.999999999999999778e-01
7.723623358852147014e+00,5.999999999999999778e-01
7.721974592855908703e+00,5.999999999999999778e-01
7.719048935085378815e+00,5.999999999999999778e-01
7.713448747675452744e+00,5.999999999999999778e-01
7.738721629468272134e+00,5.999999999999999778e-01
7.722476108828171704e+00,5.999999999999999778e-01
7.720637338329023436e+00,5.999999999999999778e-01
7.717083172910558453e+00,5.999999999999999778e-01
7.712264452607681342e+00,5.999999999999999778e-01
7.746662311374715948e+00,5.999999999999999778e-01
7.724289632357251634e+00,5.999999999999999778e-01
7.723594285202797671e+00,5.999999999999999778e-01
7.722839533936007861e+00,5.999999999999999778e-01
7.721917465171597605e+00,5.999999999999999778e-01
7.720622616123201887e+00,5.999999999999999778e-01
7.718433197290347714e+00,5.999999999999999778e-01
7.713817087796506655e+00,5.999999999999999778e-01
7.719840090862447823e+00,5.999999999999999778e-01
7.713291120043628268e+00,5.999999999999999778e-01
7.736767063653086751e+00,5.999999999999999778e-01
7.720465529706094010e+00,5.999999999999999778e-01
7.718553702774236136e+00,5.999999999999999778e-01
7.714507467468334490e+00,5.999999999999999778e-01
7.710268022898289608e+00,5.999999999999999778e-01
7.750329174020467171e+00,5.999999999999999778e-01
7.723671137994060132e+00,5.999999999999999778e-01
7.723005231810156523e+00,5.999999999999999778e-01
7.722418659659243012e+00,5.999999999999999778e-01
7.721831760871194383e+00,5.999999999999999778e-01
7.721178396594500448e+00,5.999999999999999778e-01
7.720367223772805154e+00,5.999999999999999778e-01
7.719219490182626764e+00,5.999999999999999778e-01
7.717279820398299073e+00,5.999999999999999778e-01
7.713060227559464188e+00,5.999999999999999778e-01
7.711810603349815274e+00,5.999999999999999778e-01
7.735965290107263748e+00,5.999999999999999778e-01
7.719273848576746921e+00,5.999999999999999778e-01
7.717582174634489256e+00,5.999999999999999778e-01
7.714053506768270729e+00,5.999999999999999778e-01
7.706386075901281885e+00,5.999999999999999778e-01
7.763933938679357993e+00,5.999999999999999778e-01
7.724607539661374034e+00,5.999999999999999778e-01
7.723056840113364352e+00,5.999999999999999778e-01
7.722339128035588196e+00,5.999999999999999778e-01
7.721819616979058054e+00,5.999999999999999778e-01
7.721370361471969090e+00,5.999999999999999778e-01
7.720937114312558691e+00,5.999999999999999778e-01
7.720482493594402307e+00,5.999999999999999778e-01
7.719966216693030958e+00,5.999999999999999778e-01
7.719327424102534252e+00,5.999999999999999778e-01
7.718450250051511752e+00,5.999999999999999778e-01
7.717065489611855789e+00,5.999999999999999778e-01
7.714386174563170329e+00,5.999999999999999778e-01
7.708146517183920743e+00,5.999999999999999778e-01
7.735522836735534646e+00,5.999999999999999778e-01
7.718374185202755200e+00,5.999999999999999778e-01
7.717039838686395647e+00,5.999999999999999778e-01
7.714478520423644348e+00,5.999999999999999778e-01
7.707983002291334707e+00,5.999999999999999778e-01
7.732293437941460290e+00,5.999999999999999778e-01
7.716780223021216578e+00,5.999999999999999778e-01
7.713964917070378569e+00,5.999999999999999778e-01
7.706207705121916440e+00,5.999999999999999778e-01
7.743904331763030058e+00,5.999999999999999778e-01
7.720262405649861215e+00,5.999999999999999778e-01
7.719752532952973922e+00,5.999999999999999778e-01
7.719186999721705966e+00,5.999999999999999778e-01
7.718483887078704697e+00,5.999999999999999778e-01
7.717488354347170620e+00,5.999999999999999778e-01
7.715811786895827140e+00,5.999999999999999778e-01
7.712101065832354330e+00,5.999999999999999778e-01
7.702887749644314219e+00,5.999999999999999778e-01
7.781945128988385640e+00,5.999999999999999778e-01
7.721590555785710741e+00,5.999999999999999778e-01
7.720962489972085230e+00,5.999999999999999778e-01
7.720530164406105733e+00,5.999999999999999778e-01
7.720171505722670524e+00,5.999999999999999778e-01
7.719839252889243220e+00,5.999999999999999778e-01
7.719505795219046007e+00,5.999999999999999778e-01
7.719147440746259470e+00,5.999999999999999778e-01
7.718735700661262022e+00,5.999999999999999778e-01
7.718226759577384577e+00,5.999999999999999778e-01
7.717539979886152146e+00,5.999999999999999778e-01
7.716499893085670969e+00,5.999999999999999778e-01
7.714636638597263563e+00,5.999999999999999778e-01
